DateTime,latitude,longitude,measuring,raw measuring,Hour,UPPER LIMIT,LOWER LIMIT,Diff,Max Diff,Min Diff,QTLE01,QTLE99,DIFF_QTLE01,DIFF_QTLE99,Count,Std,% valid,Tag
2022-11-25 12:30:00,,,,,12,,,,,,,,,,0,,0.0,LOWSAMPLES
2022-11-25 13:30:00,,,,,13,,,,,,,,,,0,,0.0,LOWSAMPLES
2022-11-25 14:30:00,,,,,14,,,,,,,,,,0,,0.0,LOWSAMPLES
2022-11-25 15:30:00,,,,,15,,,,,,,,,,0,,0.0,LOWSAMPLES
2022-11-25 16:30:00,,,,,16,,,,,,,,,,0,,0.0,LOWSAMPLES
2022-11-25 17:30:00,,,,,17,,,,,,,,,,0,,0.0,LOWSAMPLES
2022-11-25 18:30:00,,,,,18,,,,,,,,,,0,,0.0,LOWSAMPLES
2022-11-25 19:30:00,,,,,19,,,,,,,,,,0,,0.0,LOWSAMPLES
2022-11-25 20:30:00,-28.456899000000003,-48.972998999999994,2.521666666666667,1.2266666666666668,20,2000.0,0.0,-0.4075,200.0,-200.0,0.09249999999999999,7.669999999999999,-1.505,1.3499999999999996,3,2.174938696454071,75.0,VALID
2022-11-25 21:30:00,-28.456899000000003,-48.972998999999994,0.9166666666666666,0.69,21,2000.0,0.0,-0.13666666666666671,200.0,-200.0,0.115,9.9025,-1.505,1.3499999999999996,3,0.16502525059315415,75.0,VALID
2022-11-25 22:30:00,-28.456899,-48.972999,0.57,0.56,22,2000.0,0.0,,200.0,-200.0,0.1225,7.029999999999999,-1.505,1.3499999999999996,1,,25.0,LOWSAMPLES
2022-11-25 23:30:00,-28.456899,-48.972999,0.5475,0.53,23,2000.0,0.0,-0.009999999999999981,200.0,-200.0,0.12,5.005,-1.505,1.3499999999999996,4,0.015545631755148004,100.0,VALID
2022-11-26 00:30:00,-28.456899,-48.972999,0.50125,0.4625,0,2000.0,0.0,-0.016250000000000014,200.0,-200.0,0.1225,5.07,-1.505,1.3499999999999996,4,0.0280995255001456,100.0,VALID
2022-11-26 01:30:00,-28.456899,-48.972999,0.43,0.475,1,2000.0,0.0,-0.0037500000000000033,200.0,-200.0,0.1225,4.82,-1.505,1.3499999999999996,4,0.014719601443879723,100.0,VALID
2022-11-26 02:30:00,-28.456899,-48.972999,0.5775,0.6125,2,2000.0,0.0,0.04250000000000001,200.0,-200.0,0.07,4.3149999999999995,-1.505,1.3499999999999996,4,0.03617089069035116,100.0,VALID
2022-11-26 03:30:00,,,,,3,,,,,,,,,,0,,0.0,LOWSAMPLES
2022-11-26 04:30:00,-28.456899,-48.972999,0.34750000000000003,0.28,4,2000.0,0.0,-0.056666666666666664,200.0,-200.0,0.07,4.2250000000000005,-1.505,1.3499999999999996,4,0.07193747284969076,100.0,VALID
2022-11-26 05:30:00,-28.456899,-48.972999,0.18125,0.15,5,2000.0,0.0,-0.03125000000000001,200.0,-200.0,0.065,3.8475,-1.505,1.3499999999999996,4,0.030652623596249224,100.0,VALID
