DateTime,latitude,longitude,measuring,raw measuring,Diff,UPPER LIMIT,LOWER LIMIT,Hour,GLOBAL_QTLE01,GLOBAL_QTLE99,DIFF_QTLE01,DIFF_QTLE99,Count,Std,% valid,Tag
2022-12-13 18:30:00,-28.456899,-48.972999,28.787499999999998,27.6325,-0.5962500000000004,85.0,-40.0,18,23.38,38.265,-1.5650000000000013,0.5399999999999991,4,0.9106453755441798,100.0,VALID
2022-12-13 19:30:00,-28.456899,-48.972999,25.7825,25.0325,-0.6812499999999995,85.0,-40.0,19,22.975,34.375,-1.3400000000000034,0.389999999999997,4,0.7959533068381992,100.0,VALID
2022-12-13 20:30:00,-28.456899,-48.972999,24.458750000000002,24.247500000000002,-0.1637499999999994,85.0,-40.0,20,22.57,32.885,-0.6400000000000006,0.20000000000000284,4,0.1636243156339118,100.0,VALID
2022-12-13 21:30:00,-28.456899,-48.972999,23.87375,23.79,-0.14000000000000057,85.0,-40.0,21,21.47,31.765,-0.4349999999999987,0.17999999999999972,4,0.17922867144145002,100.0,VALID
2022-12-13 22:30:00,-28.456899,-48.972999,23.95125,23.9525,0.05750000000000011,85.0,-40.0,22,21.205,31.435000000000002,-0.41000000000000014,0.16000000000000014,4,0.07099002277315844,100.0,VALID
2022-12-13 23:30:00,-28.456899,-48.972999,23.71875,23.625,-0.0887500000000001,85.0,-40.0,23,20.87,31.119999999999997,-0.29499999999999815,0.10500000000000043,4,0.10499007889637267,100.0,VALID
2022-12-14 00:30:00,-28.456899,-48.972999,23.475,23.3825,-0.0649999999999995,85.0,-40.0,0,20.97,31.08,-0.36499999999999844,0.11500000000000199,4,0.10255080041943261,100.0,VALID
2022-12-14 01:30:00,-28.456899,-48.972999,23.23,23.002499999999998,-0.08375000000000021,85.0,-40.0,1,20.28,30.82,-0.34499999999999886,0.09999999999999787,4,0.14300349646075014,100.0,VALID
2022-12-14 02:30:00,-28.456899,-48.972999,22.47625,22.2275,-0.20250000000000057,85.0,-40.0,2,19.86,30.855,-0.41999999999999815,0.12000000000000455,4,0.24232811777973107,100.0,VALID
2022-12-14 03:30:00,-28.456899,-48.972999,21.8325,21.54,-0.16499999999999915,85.0,-40.0,3,19.745,30.9,-0.3450000000000024,0.125,4,0.23117453723683798,100.0,VALID
2022-12-14 04:30:00,-28.456899,-48.972999,21.12625,20.939999999999998,-0.16125000000000078,85.0,-40.0,4,19.605,30.945,-0.3150000000000013,0.13000000000000256,4,0.1767472300584463,100.0,VALID
2022-12-14 05:30:00,-28.456899,-48.972999,20.76625,20.76,-0.04249999999999954,85.0,-40.0,5,19.53,30.985,-0.3200000000000003,0.18499999999999872,4,0.028394541729000144,100.0,VALID
2022-12-14 06:30:00,-28.456899,-48.972999,21.43875,22.495,0.4349999999999996,85.0,-40.0,6,19.545,30.994999999999997,-0.22500000000000142,1.019999999999996,4,0.7532416057724525,100.0,VALID
2022-12-14 07:30:00,-28.456899,-48.972999,24.59875,25.9025,0.8075000000000001,85.0,-40.0,7,19.705,31.98,-0.10999999999999943,1.5050000000000026,4,0.9363437314006723,100.0,VALID
2022-12-14 08:30:00,-28.456899,-48.972999,28.08625,28.965,0.7850000000000001,85.0,-40.0,8,21.18,35.485,-0.03999999999999915,1.6299999999999955,4,0.8602167846924804,100.0,VALID
2022-12-14 09:30:00,-28.456899,-48.972999,30.05875,30.52,0.41749999999999954,85.0,-40.0,9,23.485,38.010000000000005,-0.3150000000000013,1.730000000000004,4,0.515967941510582,100.0,VALID
2022-12-14 10:30:00,-28.456899,-48.972999,31.006249999999998,31.4,0.20749999999999957,85.0,-40.0,10,24.185000000000002,40.215,-0.7600000000000051,1.3500000000000085,4,0.28897447984207575,100.0,VALID
2022-12-14 11:30:00,-28.456899,-48.972999,31.695,31.84,0.11500000000000021,85.0,-40.0,11,24.47,42.375,-0.9149999999999991,1.1149999999999949,4,0.10870449239413524,100.0,VALID
2022-12-14 12:30:00,-28.456899,-48.972999,32.136250000000004,32.04,0.0625,85.0,-40.0,12,23.925,44.175,-0.6700000000000017,1.009999999999998,4,0.09113863066779494,100.0,VALID
