,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring CO,measuring NO2,measuring O3 2,measuring SO2 1,","{'Mean': -20.027494229219183, 'Std': 6.896632154848406}","{'Mean': -17.571592525865718, 'Std': 7.4074665194170075}","{'Mean': -20.855644048294874, 'Std': 6.086563962243959}","{'Mean': -17.73373215790378, 'Std': 7.419450512060504}"
"measuring CO,measuring NO2,measuring O3 2,measuring SO2 2,","{'Mean': -19.015133152781413, 'Std': 6.938635498297181}","{'Mean': -17.682917954943875, 'Std': 7.388214282296912}","{'Mean': -22.522821239848774, 'Std': 5.419547686780293}","{'Mean': -17.765502706192336, 'Std': 7.387883786683502}"
"measuring CO,measuring NO2,measuring SO2 1,measuring SO2 2,","{'Mean': -20.82988492778708, 'Std': 6.293483216404597}","{'Mean': -18.055664602354987, 'Std': 8.249264976441278}","{'Mean': -21.65971579769511, 'Std': 5.632244656756885}","{'Mean': -17.502832456731255, 'Std': 7.7538424423556584}"
"measuring CO,measuring NO2,measuring SO2 1,measuring PM10,","{'Mean': -19.60275265992437, 'Std': 7.760849023791948}","{'Mean': -18.128433552198423, 'Std': 8.382309765222521}","{'Mean': -20.3863520449977, 'Std': 7.066405540078968}","{'Mean': -17.296144475390598, 'Std': 8.070380338834179}"
"measuring CO,measuring NO2,measuring SO2 1,temperature,","{'Mean': -18.895667729992386, 'Std': 7.40742193225877}","{'Mean': -17.755411633297648, 'Std': 7.703058397244206}","{'Mean': -22.37885361032263, 'Std': 6.85440867854441}","{'Mean': -18.60745489785223, 'Std': 7.315184320736674}"
"measuring CO,measuring NO2,measuring SO2 2,measuring PM10,","{'Mean': -18.060579073645755, 'Std': 7.766443792789597}","{'Mean': -18.08401103635763, 'Std': 8.20050421319012}","{'Mean': -20.821939604733924, 'Std': 5.876213561579289}","{'Mean': -17.51409007581157, 'Std': 7.748018419116773}"
"measuring CO,measuring NO2,measuring SO2 2,temperature,","{'Mean': -19.299418550728635, 'Std': 6.835800068680004}","{'Mean': -17.902634162968674, 'Std': 7.656676011567655}","{'Mean': -21.781665130694062, 'Std': 5.453110374646981}","{'Mean': -18.782125377698392, 'Std': 7.075844483150794}"
"measuring CO,measuring O3 1,measuring O3 2,measuring SO2 1,","{'Mean': -18.7812598403364, 'Std': 6.880356265634818}","{'Mean': -17.79251055718192, 'Std': 7.392615202148688}","{'Mean': -21.65360509552539, 'Std': 5.418158298099156}","{'Mean': -17.533170230568462, 'Std': 7.247035850855004}"
"measuring CO,measuring O3 1,measuring O3 2,measuring SO2 2,","{'Mean': -19.094679971579474, 'Std': 6.84902296389511}","{'Mean': -17.99294401625716, 'Std': 7.366977409479171}","{'Mean': -22.10848955841126, 'Std': 5.328268490790977}","{'Mean': -17.55813856804846, 'Std': 7.24198605324686}"
"measuring CO,measuring O3 1,measuring SO2 1,measuring SO2 2,","{'Mean': -19.515127092700386, 'Std': 6.824005772873597}","{'Mean': -18.395983899997265, 'Std': 8.250539020450338}","{'Mean': -20.844938260692704, 'Std': 5.71963645076228}","{'Mean': -17.32201390442142, 'Std': 7.495930688833838}"
"measuring CO,measuring O3 1,measuring SO2 1,measuring PM10,","{'Mean': -18.22293299008698, 'Std': 8.330650934956745}","{'Mean': -18.42009264350876, 'Std': 8.399344501918804}","{'Mean': -21.29012611735078, 'Std': 6.856862225947071}","{'Mean': -17.17816929362261, 'Std': 7.990431191251206}"
"measuring CO,measuring O3 1,measuring SO2 1,temperature,","{'Mean': -18.16097434607986, 'Std': 7.381256176986271}","{'Mean': -18.009767178201262, 'Std': 7.695868607903428}","{'Mean': -22.18013676204556, 'Std': 6.586997876418971}","{'Mean': -18.15613196698595, 'Std': 7.132179583628154}"
"measuring CO,measuring O3 1,measuring SO2 2,measuring PM10,","{'Mean': -18.866137418189528, 'Std': 7.371150090758164}","{'Mean': -18.486842921453967, 'Std': 8.180744031193937}","{'Mean': -20.693746226100803, 'Std': 5.455064845077894}","{'Mean': -17.35464407475302, 'Std': 7.4747024014295445}"
