,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring NO2,measuring SO2 1,measuring PM10,","{'Mean': -0.486448607710569, 'Std': 0.5197814362588069}","{'Mean': -0.14576678675399105, 'Std': 0.22603971693583527}","{'Mean': -0.7063941011585685, 'Std': 0.7017257487445386}","{'Mean': -0.17668074405906378, 'Std': 0.2796090961782853}"
"measuring NO2,measuring SO2 1,temperature,","{'Mean': -0.38489740693238955, 'Std': 0.5939824668748261}","{'Mean': -0.16600188367197366, 'Std': 0.33078719577737137}","{'Mean': -1.493164037936063, 'Std': 1.7374520710459762}","{'Mean': -0.3314895074305503, 'Std': 0.5584194202466426}"
"measuring NO2,measuring SO2 2,measuring PM10,","{'Mean': -0.2296872013568565, 'Std': 0.2517855901338808}","{'Mean': -0.17904865576359047, 'Std': 0.27260582871041}","{'Mean': -1.076396097728776, 'Std': 1.5204555191355251}","{'Mean': -0.35696591685842716, 'Std': 0.6705511326058038}"
"measuring NO2,measuring SO2 2,temperature,","{'Mean': -0.5292167134543098, 'Std': 0.5659669315792211}","{'Mean': -0.19372416089546493, 'Std': 0.35018734544135766}","{'Mean': -1.381036275599783, 'Std': 1.7158675681750915}","{'Mean': -0.46768907899783035, 'Std': 0.6156850848206717}"
"measuring O3 1,measuring O3 2,measuring SO2 1,","{'Mean': -0.9781520292084209, 'Std': 1.4666554599697181}","{'Mean': -0.20273959986892026, 'Std': 0.380919316040511}","{'Mean': -1.7322278287062538, 'Std': 1.4867659900358483}","{'Mean': -0.31185980188207924, 'Std': 0.42163457302788127}"
"measuring O3 1,measuring O3 2,measuring SO2 2,","{'Mean': -0.46350589454506713, 'Std': 0.632554328980803}","{'Mean': -0.2151760762989278, 'Std': 0.37190357937186425}","{'Mean': -1.419241839107407, 'Std': 1.6904712311667407}","{'Mean': -0.3322675007226499, 'Std': 0.4505057447601466}"
"measuring O3 1,measuring SO2 1,measuring SO2 2,","{'Mean': -0.6745834649189144, 'Std': 0.8875493177563935}","{'Mean': -0.17129036738789927, 'Std': 0.2442499310982027}","{'Mean': -1.0690964767247795, 'Std': 1.356245624390282}","{'Mean': -0.26840200302531064, 'Std': 0.5073834510742974}"
"measuring O3 1,measuring SO2 1,measuring PM10,","{'Mean': -0.14411578919828566, 'Std': 0.20772960639869995}","{'Mean': -0.15714090921765403, 'Std': 0.1948781390367677}","{'Mean': -0.6516521079503669, 'Std': 0.48983843579224273}","{'Mean': -0.10957611171466979, 'Std': 0.14884677567042476}"
"measuring O3 1,measuring SO2 1,temperature,","{'Mean': -0.24441655661141973, 'Std': 0.4048464284122023}","{'Mean': -0.16540128762122203, 'Std': 0.33287196990636503}","{'Mean': -1.3470533466157837, 'Std': 1.4849597496902907}","{'Mean': -0.4058376663048387, 'Std': 0.6272456682775726}"
"measuring O3 1,measuring SO2 2,measuring PM10,","{'Mean': -0.36034093759730995, 'Std': 0.5002410188129419}","{'Mean': -0.20613465270510095, 'Std': 0.25304236162613647}","{'Mean': -1.0214247737085733, 'Std': 1.3585049829688032}","{'Mean': -0.28721964382031767, 'Std': 0.5663346678259387}"
"measuring O3 1,measuring SO2 2,temperature,","{'Mean': -0.3253466810778787, 'Std': 0.4640639461098177}","{'Mean': -0.1985745707250614, 'Std': 0.35598356975656686}","{'Mean': -1.1249225405803263, 'Std': 1.3393657241103298}","{'Mean': -0.46930403665518067, 'Std': 0.6421318526341566}"
"measuring O3 2,measuring SO2 1,measuring SO2 2,","{'Mean': -0.7970567661058692, 'Std': 0.9663181300700513}","{'Mean': -0.20693320807785714, 'Std': 0.38160020184158794}","{'Mean': -1.4306141228191438, 'Std': 1.927613479213447}","{'Mean': -0.33319366384427007, 'Std': 0.4555757639463913}"
"measuring O3 2,measuring SO2 1,measuring PM10,","{'Mean': -0.4995713334980486, 'Std': 0.65565314393299}","{'Mean': -0.20245574446332482, 'Std': 0.3790495755551985}","{'Mean': -1.0707785341346878, 'Std': 1.1952796066926374}","{'Mean': -0.3303669931824234, 'Std': 0.45808575889530306}"
"measuring O3 2,measuring SO2 1,temperature,","{'Mean': -0.6292440722401702, 'Std': 0.8470466035142461}","{'Mean': -0.293825876246384, 'Std': 0.4722625449867726}","{'Mean': -1.58074145879689, 'Std': 2.1601915746120777}","{'Mean': -0.6322881080097676, 'Std': 0.8109100254678033}"
"measuring O3 2,measuring SO2 2,measuring PM10,","{'Mean': -0.2859384479473374, 'Std': 0.4070640083728638}","{'Mean': -0.2117809741018803, 'Std': 0.3671742437074507}","{'Mean': -1.2064588712811968, 'Std': 1.3274567056498359}","{'Mean': -0.3556567783089707, 'Std': 0.492923455211999}"
"measuring O3 2,measuring SO2 2,temperature,","{'Mean': -0.4735254675514026, 'Std': 0.6735810645683025}","{'Mean': -0.312656872559583, 'Std': 0.4646410552533787}","{'Mean': -1.2909782401618821, 'Std': 1.5817873354781222}","{'Mean': -0.615211076213599, 'Std': 0.7904702899195946}"
"measuring SO2 1,measuring SO2 2,measuring PM10,","{'Mean': -0.6999927132675535, 'Std': 0.8354521298080274}","{'Mean': -0.1606560588926937, 'Std': 0.2668254109176604}","{'Mean': -1.0461935588821216, 'Std': 1.3462374622430386}","{'Mean': -0.3115127599765996, 'Std': 0.5914149716929473}"
"measuring SO2 1,measuring SO2 2,temperature,","{'Mean': -0.25490592558848285, 'Std': 0.38612248565854257}","{'Mean': -0.18344966065911888, 'Std': 0.3357338939980068}","{'Mean': -1.2466767442910605, 'Std': 1.6457412945524348}","{'Mean': -0.48541921698226886, 'Std': 0.6594130976462276}"
"measuring SO2 1,measuring PM10,temperature,","{'Mean': -0.6708618711735681, 'Std': 1.1567505620616365}","{'Mean': -0.16477465234362929, 'Std': 0.3234651012518755}","{'Mean': -1.2590839380548362, 'Std': 1.4320782679673547}","{'Mean': -0.42016238948298723, 'Std': 0.653641034777028}"
"measuring SO2 2,measuring PM10,temperature,","{'Mean': -0.21580687456727893, 'Std': 0.3277672526772279}","{'Mean': -0.193584877928106, 'Std': 0.3461327924578142}","{'Mean': -1.1196914259386999, 'Std': 1.3062630329889533}","{'Mean': -0.5144046412482116, 'Std': 0.691897480050932}"
"measuring CO,measuring NO2,measuring O3 1,measuring SO2 1,","{'Mean': -0.3925380085897495, 'Std': 0.4678433124663271}","{'Mean': -0.18894393952284497, 'Std': 0.3210566818894741}","{'Mean': -0.5442870079828791, 'Std': 0.5300856532484534}","{'Mean': -0.05322648660333158, 'Std': 0.19543608617831704}"
"measuring CO,measuring NO2,measuring O3 1,measuring SO2 2,","{'Mean': -0.5114167864193172, 'Std': 0.5002248503219063}","{'Mean': -0.19436587559727864, 'Std': 0.2819558938692293}","{'Mean': -1.1672869906215313, 'Std': 1.552194714515891}","{'Mean': -0.1476783324649697, 'Std': 0.4425693491872476}"
"measuring CO,measuring NO2,measuring O3 2,measuring SO2 1,","{'Mean': -0.7395203797609171, 'Std': 0.9669807565170537}","{'Mean': -0.129729937355135, 'Std': 0.2608956190460127}","{'Mean': -1.012490630080995, 'Std': 1.2111199722718526}","{'Mean': -0.17883771842732807, 'Std': 0.35079837099346806}"
"measuring CO,measuring NO2,measuring O3 2,measuring SO2 2,","{'Mean': -0.46104451762532345, 'Std': 0.6469687569306353}","{'Mean': -0.14129299487501315, 'Std': 0.2431804223434938}","{'Mean': -1.550787325306306, 'Std': 1.8918317034917016}","{'Mean': -0.19018632810839728, 'Std': 0.3700808325922544}"
"measuring CO,measuring NO2,measuring SO2 1,measuring SO2 2,","{'Mean': -0.8959755159989626, 'Std': 1.0207299666629948}","{'Mean': -0.1382240424795404, 'Std': 0.2228480211537562}","{'Mean': -1.1910034856523977, 'Std': 1.4218885054009711}","{'Mean': -0.14705343938454887, 'Std': 0.4415859084626172}"
"measuring CO,measuring NO2,measuring SO2 1,measuring PM10,","{'Mean': -0.47577253978505735, 'Std': 0.4861543439431715}","{'Mean': -0.1401463979351627, 'Std': 0.24021546669606686}","{'Mean': -0.7169912806587387, 'Std': 0.7845866270738072}","{'Mean': -0.053633012941299144, 'Std': 0.19257032302481705}"
"measuring CO,measuring NO2,measuring SO2 1,temperature,","{'Mean': -0.39717641344598215, 'Std': 0.5848927194836384}","{'Mean': -0.12245997161510602, 'Std': 0.21526411184635713}","{'Mean': -1.3937468868075058, 'Std': 1.6432252287984626}","{'Mean': -0.3188752802666626, 'Std': 0.45007369451529317}"
"measuring CO,measuring NO2,measuring SO2 2,measuring PM10,","{'Mean': -0.1840865786005488, 'Std': 0.2774350506286008}","{'Mean': -0.14177203632884097, 'Std': 0.2010953190249953}","{'Mean': -1.0500181821721015, 'Std': 1.486874572937738}","{'Mean': -0.15092655624235393, 'Std': 0.4513066366639547}"
