,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring CO,measuring NO2,measuring O3 2,temperature,","{'Mean': -0.06456802977755081, 'Std': 0.012824624261180362}","{'Mean': -0.05975460337219686, 'Std': 0.012841620402782316}","{'Mean': -0.06712889028766442, 'Std': 0.009779166799485864}","{'Mean': -0.06017805528497914, 'Std': 0.012293216862461435}"
"measuring CO,measuring NO2,measuring SO2 1,measuring SO2 2,","{'Mean': -0.24366232809941354, 'Std': 0.11016354923225415}","{'Mean': -0.061513308383553456, 'Std': 0.01132204553919287}","{'Mean': -0.06320632162262856, 'Std': 0.008792354852934151}","{'Mean': -0.05983710761567088, 'Std': 0.011403834086070286}"
"measuring CO,measuring NO2,measuring SO2 1,measuring PM10,","{'Mean': -0.0917994129709556, 'Std': 0.04038227475694352}","{'Mean': -0.060965202883128934, 'Std': 0.011755338228355235}","{'Mean': -0.06453393405342914, 'Std': 0.011789408025920808}","{'Mean': -0.05924336436998302, 'Std': 0.011452068136041813}"
"measuring CO,measuring NO2,measuring SO2 1,temperature,","{'Mean': -0.1126396893577184, 'Std': 0.04114248070919108}","{'Mean': -0.06122552981977884, 'Std': 0.011676332840513958}","{'Mean': -0.06714466219058271, 'Std': 0.012513029416838245}","{'Mean': -0.059916225636740615, 'Std': 0.011954757795307873}"
"measuring CO,measuring NO2,measuring SO2 2,measuring PM10,","{'Mean': -0.13970888925939356, 'Std': 0.11599049758588634}","{'Mean': -0.06165255648056904, 'Std': 0.01217359638671134}","{'Mean': -0.06800662646664254, 'Std': 0.011324013063896882}","{'Mean': -0.05980094504012649, 'Std': 0.011465996598913156}"
"measuring CO,measuring NO2,measuring SO2 2,temperature,","{'Mean': -0.15005549532779178, 'Std': 0.1534050207425655}","{'Mean': -0.06186604850238427, 'Std': 0.011904305032196418}","{'Mean': -0.06297699695876713, 'Std': 0.00954149439627654}","{'Mean': -0.0599304956897474, 'Std': 0.011599666796523144}"
"measuring CO,measuring NO2,measuring PM10,temperature,","{'Mean': -0.06411078664300475, 'Std': 0.012495715655542184}","{'Mean': -0.06137346932869623, 'Std': 0.0126463764099972}","{'Mean': -0.06707664147651035, 'Std': 0.011564005046142736}","{'Mean': -0.059787275687185414, 'Std': 0.011975346296057515}"
"measuring CO,measuring O3 1,measuring O3 2,measuring SO2 1,","{'Mean': -0.09742869444705608, 'Std': 0.020181644101554798}","{'Mean': -0.0608555227960992, 'Std': 0.011319750525674762}","{'Mean': -0.0693526899331098, 'Std': 0.02102245475193545}","{'Mean': -0.05942524360535645, 'Std': 0.01172567246150282}"
"measuring CO,measuring O3 1,measuring O3 2,measuring SO2 2,","{'Mean': -0.15342049747022568, 'Std': 0.1590160788977997}","{'Mean': -0.06128149882120857, 'Std': 0.01033183561073227}","{'Mean': -0.06139018191362613, 'Std': 0.013234634425933901}","{'Mean': -0.06002311302271572, 'Std': 0.011523058640316766}"
"measuring CO,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -0.06392865149738616, 'Std': 0.012651558485857159}","{'Mean': -0.06108908288936308, 'Std': 0.011980920233143729}","{'Mean': -0.06452497255647258, 'Std': 0.014441517342713253}","{'Mean': -0.05950457008987638, 'Std': 0.01173378131308356}"
"measuring CO,measuring O3 1,measuring O3 2,temperature,","{'Mean': -0.059837061101272335, 'Std': 0.0097786781739697}","{'Mean': -0.05961880776248853, 'Std': 0.012341709702024584}","{'Mean': -0.06324466688739, 'Std': 0.012922778829675047}","{'Mean': -0.05990153948672296, 'Std': 0.011792453180603858}"
