,Sensores,MLP,MLR,KNN,RF
70,CO + O3 2 + SO2 1 + SO2 2,-14.78 ± 2.61,-11.13 ± 2.08,-11.55 ± 1.94,-10.73 ± 1.65
71,CO + O3 2 + SO2 1 + PM10,-16.22 ± 3.45,-11.24 ± 2.12,-12.88 ± 2.78,-12.95 ± 3.68
72,CO + O3 2 + SO2 1 + T,-14.89 ± 3.39,-8.97 ± 2.1,-10.27 ± 2.13,-10.08 ± 2.47
73,CO + O3 2 + SO2 2 + PM10,-14.7 ± 3.16,-10.92 ± 2.03,-11.86 ± 1.96,-11.45 ± 2.72
74,CO + O3 2 + SO2 2 + T,-15.05 ± 3.95,-8.94 ± 2.08,-9.58 ± 2.0,-9.55 ± 2.46
75,CO + O3 2 + PM10 + T,-14.4 ± 4.01,-9.05 ± 2.23,-10.49 ± 2.33,-10.0 ± 2.49
76,NO2 + O3 1 + O3 2 + SO2 1,-14.52 ± 2.59,-10.32 ± 2.15,-11.11 ± 1.7,-11.24 ± 1.44
77,NO2 + O3 1 + O3 2 + SO2 2,-21.8 ± 14.75,-10.04 ± 2.27,-10.37 ± 1.87,-9.73 ± 1.52
78,NO2 + O3 1 + O3 2 + PM10,-15.55 ± 4.79,-10.22 ± 2.14,-10.64 ± 2.07,-11.78 ± 2.5
79,NO2 + O3 1 + O3 2 + T,-13.66 ± 1.52,-9.59 ± 2.27,-9.21 ± 1.79,-9.09 ± 1.72
80,NO2 + O3 1 + SO2 1 + SO2 2,-16.03 ± 0.7,-12.28 ± 3.41,-12.21 ± 2.59,-11.52 ± 2.67
81,NO2 + O3 1 + SO2 1 + PM10,-18.77 ± 3.87,-12.82 ± 2.82,-13.96 ± 2.77,-14.88 ± 1.94
82,NO2 + O3 1 + SO2 1 + T,-12.61 ± 2.29,-9.23 ± 2.01,-9.19 ± 2.09,-9.42 ± 1.95
83,NO2 + O3 1 + SO2 2 + PM10,-17.51 ± 6.25,-12.03 ± 3.32,-12.95 ± 3.04,-11.66 ± 2.18
84,NO2 + O3 1 + SO2 2 + T,-21.68 ± 19.65,-9.13 ± 1.95,-9.35 ± 1.93,-9.37 ± 2.34
85,NO2 + O3 1 + PM10 + T,-13.36 ± 3.43,-9.33 ± 2.18,-9.25 ± 2.07,-9.52 ± 1.8
86,NO2 + O3 2 + SO2 1 + SO2 2,-14.21 ± 3.73,-10.54 ± 2.47,-10.39 ± 2.22,-10.03 ± 1.71
87,NO2 + O3 2 + SO2 1 + PM10,-14.59 ± 2.38,-10.56 ± 2.29,-10.74 ± 1.88,-11.74 ± 1.73
88,NO2 + O3 2 + SO2 1 + T,-13.8 ± 2.38,-9.53 ± 2.27,-9.48 ± 2.1,-9.18 ± 2.02
89,NO2 + O3 2 + SO2 2 + PM10,-22.83 ± 13.38,-10.32 ± 2.34,-10.3 ± 1.92,-10.16 ± 1.47
90,NO2 + O3 2 + SO2 2 + T,-18.41 ± 9.66,-9.47 ± 2.23,-9.6 ± 2.16,-9.43 ± 2.56
91,NO2 + O3 2 + PM10 + T,-13.49 ± 2.57,-9.65 ± 2.44,-9.6 ± 2.18,-9.26 ± 2.07
92,O3 1 + O3 2 + SO2 1 + SO2 2,-11.89 ± 2.68,-10.0 ± 2.21,-10.94 ± 1.77,-9.99 ± 1.67
93,O3 1 + O3 2 + SO2 1 + PM10,-14.09 ± 3.62,-10.16 ± 2.02,-11.27 ± 1.54,-12.48 ± 2.63
94,O3 1 + O3 2 + SO2 1 + T,-12.73 ± 3.14,-9.39 ± 2.14,-9.73 ± 1.94,-9.2 ± 1.82
95,O3 1 + O3 2 + SO2 2 + PM10,-13.78 ± 2.33,-9.84 ± 2.12,-10.62 ± 1.85,-10.25 ± 1.49
96,O3 1 + O3 2 + SO2 2 + T,-12.93 ± 3.33,-9.28 ± 2.05,-9.77 ± 2.27,-9.48 ± 2.34
97,O3 1 + O3 2 + PM10 + T,-12.84 ± 3.48,-9.51 ± 2.27,-9.72 ± 2.09,-9.08 ± 1.76
98,O3 1 + SO2 1 + SO2 2 + PM10,-13.82 ± 3.83,-12.1 ± 3.3,-12.45 ± 3.23,-10.94 ± 2.49
99,O3 1 + SO2 1 + SO2 2 + T,-12.29 ± 2.1,-8.98 ± 1.85,-9.28 ± 2.15,-9.04 ± 2.08
100,O3 1 + SO2 1 + PM10 + T,-12.07 ± 3.06,-9.17 ± 2.04,-9.38 ± 2.01,-9.48 ± 1.8
101,O3 1 + SO2 2 + PM10 + T,-15.25 ± 4.27,-9.05 ± 1.94,-9.59 ± 2.12,-9.51 ± 2.34
102,O3 2 + SO2 1 + SO2 2 + PM10,-14.39 ± 3.0,-10.26 ± 2.29,-10.54 ± 2.19,-10.16 ± 1.49
103,O3 2 + SO2 1 + SO2 2 + T,-13.32 ± 2.94,-9.28 ± 2.08,-9.81 ± 2.39,-8.95 ± 2.19
104,O3 2 + SO2 1 + PM10 + T,-12.3 ± 2.15,-9.47 ± 2.25,-9.55 ± 2.01,-9.16 ± 2.01
105,O3 2 + SO2 2 + PM10 + T,-13.79 ± 3.3,-9.37 ± 2.15,-9.94 ± 2.39,-9.3 ± 2.44
106,CO + NO2 + O3 1 + O3 2 + SO2 1,-16.24 ± 3.11,-10.58 ± 1.91,-11.85 ± 1.75,-12.82 ± 3.33
107,CO + NO2 + O3 1 + O3 2 + SO2 2,-21.25 ± 10.89,-10.24 ± 2.12,-10.95 ± 1.56,-10.45 ± 1.77
108,CO + NO2 + O3 1 + O3 2 + PM10,-17.99 ± 8.41,-10.51 ± 1.82,-11.39 ± 1.77,-12.62 ± 3.75
109,CO + NO2 + O3 1 + O3 2 + T,-15.07 ± 3.28,-8.63 ± 1.93,-9.93 ± 1.74,-8.96 ± 1.72
110,CO + NO2 + O3 1 + SO2 1 + SO2 2,-25.58 ± 14.63,-13.1 ± 2.64,-12.75 ± 1.76,-11.34 ± 2.25
111,CO + NO2 + O3 1 + SO2 1 + PM10,-20.9 ± 4.12,-14.18 ± 2.63,-14.71 ± 3.12,-14.96 ± 3.62
112,CO + NO2 + O3 1 + SO2 1 + T,-13.25 ± 2.17,-8.59 ± 1.79,-10.11 ± 1.92,-9.22 ± 1.88
113,CO + NO2 + O3 1 + SO2 2 + PM10,-23.07 ± 12.01,-12.99 ± 2.47,-13.24 ± 2.74,-11.69 ± 2.07
114,CO + NO2 + O3 1 + SO2 2 + T,-14.64 ± 4.72,-8.55 ± 1.79,-9.52 ± 1.86,-8.73 ± 1.9
115,CO + NO2 + O3 1 + PM10 + T,-13.66 ± 3.35,-8.65 ± 1.85,-9.88 ± 1.83,-9.36 ± 1.77
116,CO + NO2 + O3 2 + SO2 1 + SO2 2,-18.2 ± 5.48,-11.13 ± 2.08,-11.16 ± 2.12,-10.49 ± 1.67
117,CO + NO2 + O3 2 + SO2 1 + PM10,-16.2 ± 3.34,-11.23 ± 2.13,-11.77 ± 1.7,-12.67 ± 3.62
118,CO + NO2 + O3 2 + SO2 1 + T,-18.04 ± 6.03,-8.97 ± 2.09,-10.41 ± 2.15,-9.88 ± 2.22
