,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring O3 2,temperature,","{'Mean': 1900.8213143922285, 'Std': 187.55743923213223}","{'Mean': 1865.1666695321865, 'Std': 131.06414185675996}","{'Mean': 1830.949525986837, 'Std': 152.01158433805023}","{'Mean': 1810.5615556526736, 'Std': 128.6820475335193}"
"measuring CO,measuring NO2,measuring O3 1,","{'Mean': 2200.940417035826, 'Std': 122.94925875850684}","{'Mean': 2105.4716185282346, 'Std': 137.8267561611527}","{'Mean': 2044.1942544786568, 'Std': 209.32621101854244}","{'Mean': 2110.134497478584, 'Std': 128.03269949460878}"
"measuring CO,measuring NO2,measuring O3 2,","{'Mean': 1985.7053872675303, 'Std': 107.93999433542852}","{'Mean': 1965.508524130503, 'Std': 125.97055632633841}","{'Mean': 2048.7180112947403, 'Std': 142.84581043236784}","{'Mean': 2025.8527072098987, 'Std': 152.58284246271248}"
"measuring CO,measuring O3 1,measuring O3 2,","{'Mean': 1931.047835111977, 'Std': 98.81059419049586}","{'Mean': 1904.0815608609257, 'Std': 148.58630371439705}","{'Mean': 1966.9104655062054, 'Std': 123.9753628004151}","{'Mean': 1904.2256969633243, 'Std': 106.20308971640466}"
"measuring CO,measuring O3 1,measuring PM10,","{'Mean': 2174.9241781342466, 'Std': 105.34619516588842}","{'Mean': 2103.10191330342, 'Std': 141.3071434970183}","{'Mean': 2129.526342928854, 'Std': 116.83611896327679}","{'Mean': 2179.2182161112464, 'Std': 69.5477260450743}"
"measuring CO,measuring O3 1,temperature,","{'Mean': 1782.5863561373544, 'Std': 133.38096518347388}","{'Mean': 1731.4794974004108, 'Std': 118.63202043518618}","{'Mean': 1822.1023817118414, 'Std': 126.21335592053377}","{'Mean': 1776.581674572819, 'Std': 110.2054572254197}"
"measuring CO,measuring O3 2,measuring PM10,","{'Mean': 2051.9720692817405, 'Std': 108.7799502121024}","{'Mean': 1947.0483532533683, 'Std': 131.44822985571824}","{'Mean': 2090.35615935722, 'Std': 144.3315006766564}","{'Mean': 2005.5932503561742, 'Std': 124.3624558275281}"
"measuring CO,measuring O3 2,temperature,","{'Mean': 1871.33783271241, 'Std': 181.46339749354254}","{'Mean': 1796.7129636234367, 'Std': 99.5568840329895}","{'Mean': 1968.0283553793988, 'Std': 204.7501060395303}","{'Mean': 1846.1424205414057, 'Std': 138.81824380338043}"
"measuring NO2,measuring O3 1,measuring O3 2,","{'Mean': 1865.9408427881242, 'Std': 112.95848327270956}","{'Mean': 1909.426487916042, 'Std': 146.18836117770604}","{'Mean': 1925.3781653715298, 'Std': 113.39011756325183}","{'Mean': 1890.1536088170494, 'Std': 116.62866130019056}"
"measuring NO2,measuring O3 1,measuring PM10,","{'Mean': 2181.401349724598, 'Std': 132.9057841863393}","{'Mean': 2038.6789176683524, 'Std': 174.08093306351407}","{'Mean': 2079.381145083377, 'Std': 163.85318039534383}","{'Mean': 2119.055908405027, 'Std': 121.20375077857182}"
"measuring NO2,measuring O3 1,temperature,","{'Mean': 1744.7830242584805, 'Std': 117.28435561027064}","{'Mean': 1832.4009398891124, 'Std': 130.39285470304725}","{'Mean': 1783.407272714014, 'Std': 125.85319150571569}","{'Mean': 1791.997224843839, 'Std': 121.47291186116574}"
"measuring NO2,measuring O3 2,measuring PM10,","{'Mean': 1954.4848997753854, 'Std': 123.08527074907347}","{'Mean': 1916.838679936234, 'Std': 151.78534106017455}","{'Mean': 1899.6859479306531, 'Std': 141.65475759062667}","{'Mean': 1916.1737488844685, 'Std': 94.57889130839736}"
"measuring NO2,measuring O3 2,temperature,","{'Mean': 1801.8428904680998, 'Std': 171.7631406868687}","{'Mean': 1872.3047294556916, 'Std': 132.58207692598918}","{'Mean': 1820.1065687517614, 'Std': 135.6597422226302}","{'Mean': 1815.326796607881, 'Std': 134.84558338434073}"
"measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': 1874.3748719050557, 'Std': 138.76351919729439}","{'Mean': 1896.0931888419225, 'Std': 147.81937070502778}","{'Mean': 1905.524336666296, 'Std': 157.75551515400556}","{'Mean': 1869.4390273818374, 'Std': 113.69632449843616}"
"measuring O3 1,measuring O3 2,temperature,","{'Mean': 1829.4605783881486, 'Std': 125.16549500504372}","{'Mean': 1855.8523663773067, 'Std': 133.43662599571556}","{'Mean': 1821.4568395299968, 'Std': 157.00906006886316}","{'Mean': 1803.2121111875497, 'Std': 126.95925190795775}"
"measuring O3 1,measuring PM10,temperature,","{'Mean': 1751.7391909890175, 'Std': 124.31385141148202}","{'Mean': 1828.814756843708, 'Std': 130.93096715890198}","{'Mean': 1823.1332275886473, 'Std': 163.04735794572275}","{'Mean': 1780.1347464675025, 'Std': 118.72726213788728}"
"measuring O3 2,measuring PM10,temperature,","{'Mean': 1853.5064058285295, 'Std': 149.24573428484334}","{'Mean': 1870.8583477940645, 'Std': 130.96775129298373}","{'Mean': 1834.4085569774768, 'Std': 142.5305025542323}","{'Mean': 1814.8779534049252, 'Std': 116.12973778702776}"
