,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring O3 1,measuring O3 2,measuring SO2 2,","{'Mean': -9.159787048507956, 'Std': 2.2861176919909236}","{'Mean': -9.15439462878561, 'Std': 2.067704498806926}","{'Mean': -10.865583216783218, 'Std': 2.510626450337667}","{'Mean': -8.738134680700668, 'Std': 2.3826551379428538}"
"measuring O3 1,measuring SO2 1,measuring SO2 2,","{'Mean': -9.689933948726955, 'Std': 2.295099839471349}","{'Mean': -9.192043457116508, 'Std': 2.5335332378309388}","{'Mean': -9.979332867132868, 'Std': 1.0851957017505431}","{'Mean': -8.67262391472207, 'Std': 2.3248159385905773}"
"measuring O3 1,measuring SO2 1,measuring PM10,","{'Mean': -9.035418920452537, 'Std': 2.3729450715694864}","{'Mean': -9.150286646423522, 'Std': 2.3641577377653906}","{'Mean': -10.020623776223777, 'Std': 2.512509497177087}","{'Mean': -9.137840596426615, 'Std': 2.2798460301580836}"
"measuring O3 1,measuring SO2 1,temperature,","{'Mean': -9.470880208808392, 'Std': 2.2702845199087975}","{'Mean': -9.355898498171184, 'Std': 2.7100972232430327}","{'Mean': -10.641756643356644, 'Std': 2.128696498672212}","{'Mean': -9.002924070518784, 'Std': 3.0031412017789836}"
"measuring O3 1,measuring SO2 2,measuring PM10,","{'Mean': -9.606773220449037, 'Std': 2.478988829137939}","{'Mean': -9.39764274589984, 'Std': 2.563142377086181}","{'Mean': -9.781545454545455, 'Std': 1.368874562686476}","{'Mean': -8.703892132403727, 'Std': 2.3560237516262914}"
"measuring O3 1,measuring SO2 2,temperature,","{'Mean': -9.304063646410428, 'Std': 2.650024204805925}","{'Mean': -9.709189614672422, 'Std': 2.738791635758603}","{'Mean': -9.4479986013986, 'Std': 2.2936334410202397}","{'Mean': -9.458707639347653, 'Std': 2.7131550430145577}"
"measuring O3 2,measuring SO2 1,measuring SO2 2,","{'Mean': -9.678013312025314, 'Std': 2.069757789001856}","{'Mean': -9.059676360744675, 'Std': 2.006047695652641}","{'Mean': -9.879125874125872, 'Std': 2.601658125249136}","{'Mean': -8.728184614881894, 'Std': 2.394425597754423}"
"measuring O3 2,measuring SO2 1,measuring PM10,","{'Mean': -9.133325045801827, 'Std': 2.5608056671306123}","{'Mean': -8.898404229822964, 'Std': 2.0974383997440897}","{'Mean': -10.492032167832168, 'Std': 2.1284117868414225}","{'Mean': -8.59253258402311, 'Std': 2.4770701244530744}"
"measuring O3 2,measuring SO2 1,temperature,","{'Mean': -9.706414039624761, 'Std': 2.5817931170044726}","{'Mean': -9.375170239221443, 'Std': 2.132393988673024}","{'Mean': -10.66702937062937, 'Std': 2.6376088160500526}","{'Mean': -9.40530828687201, 'Std': 2.821151533708239}"
"measuring O3 2,measuring SO2 2,measuring PM10,","{'Mean': -9.191254875769602, 'Std': 1.8453696142633969}","{'Mean': -9.134418106321698, 'Std': 2.03767372170373}","{'Mean': -10.197576223776224, 'Std': 1.8984322390796151}","{'Mean': -8.75847779174196, 'Std': 2.3964974287304726}"
