,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -10.903344827419337, 'Std': 2.2266239807047907}","{'Mean': -11.196392159569099, 'Std': 2.7792030141488}","{'Mean': -11.03309913644542, 'Std': 2.900397491774253}","{'Mean': -10.320412411437426, 'Std': 1.8721847539440732}"
"measuring NO2,measuring O3 1,measuring O3 2,temperature,","{'Mean': -10.064334702619645, 'Std': 0.96894897036058}","{'Mean': -10.927760848451575, 'Std': 2.036699496669699}","{'Mean': -9.876386580068786, 'Std': 2.1542850767121307}","{'Mean': -9.558933665551589, 'Std': 2.028392871590329}"
"measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': -9.660882360687197, 'Std': 1.3379411342106873}","{'Mean': -10.358510231375663, 'Std': 1.9534206547256212}","{'Mean': -9.68858970067627, 'Std': 2.480985726506234}","{'Mean': -9.215708755914148, 'Std': 1.6288179920151813}"
"measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': -10.527364589772427, 'Std': 2.2764581977572482}","{'Mean': -10.94631333565937, 'Std': 2.16648168215034}","{'Mean': -9.721542503309983, 'Std': 2.077479103453652}","{'Mean': -9.548034538356484, 'Std': 1.8769798385398029}"
"measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -10.212457224154859, 'Std': 1.446841032312674}","{'Mean': -10.897915965603787, 'Std': 2.0634337423670357}","{'Mean': -10.270997031291147, 'Std': 2.357110432763194}","{'Mean': -9.467282089004927, 'Std': 1.7905507221801051}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -12.749650144420867, 'Std': 1.6210235731872868}","{'Mean': -11.0955637472169, 'Std': 2.860671376536647}","{'Mean': -11.494122254610602, 'Std': 2.7124266175489016}","{'Mean': -10.89386069028422, 'Std': 1.4438042436934948}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,temperature,","{'Mean': -10.631360594207907, 'Std': 2.1558260889463736}","{'Mean': -9.451518153054925, 'Std': 1.5803771776672435}","{'Mean': -10.094561253787115, 'Std': 1.874090232983296}","{'Mean': -9.42186453885269, 'Std': 1.6414499606810602}"
"measuring CO,measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': -11.471123557213899, 'Std': 2.621622242791006}","{'Mean': -9.076660595296886, 'Std': 1.7149327586717418}","{'Mean': -10.004596395403832, 'Std': 2.381593686149348}","{'Mean': -8.918435613507874, 'Std': 1.5084862876846472}"
"measuring CO,measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': -12.967677619405586, 'Std': 3.477401033220091}","{'Mean': -9.943016016218662, 'Std': 1.843587296786832}","{'Mean': -11.642536238168871, 'Std': 2.526650881178146}","{'Mean': -10.715933713231552, 'Std': 2.625494239097948}"
"measuring CO,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -11.381591780931515, 'Std': 2.391534247324006}","{'Mean': -9.432107500325502, 'Std': 1.5385133925515249}","{'Mean': -10.310040685359775, 'Std': 2.1888922792206165}","{'Mean': -9.257320963251551, 'Std': 1.3768591880055823}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -9.472605530810588, 'Std': 1.7286628688610297}","{'Mean': -10.938384433098795, 'Std': 2.1036079189169348}","{'Mean': -10.099599571000793, 'Std': 2.3848349279944294}","{'Mean': -9.386583676667824, 'Std': 1.7520185408657485}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -10.899381069957597, 'Std': 1.5564858878025793}","{'Mean': -9.47295385565757, 'Std': 1.5857869090526509}","{'Mean': -10.155974777267785, 'Std': 2.275554757693391}","{'Mean': -9.16076858703785, 'Std': 1.4388618510149838}"
