,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': -136.18374673338698, 'Std': 34.106143818666766}","{'Mean': -166.39165855277358, 'Std': 61.9982265704196}","{'Mean': -162.6003847504535, 'Std': 77.89126383285846}","{'Mean': -144.51579691947993, 'Std': 49.245439044575626}"
"measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': -222.90331667272463, 'Std': 90.17202921196669}","{'Mean': -186.43541584570667, 'Std': 62.69709073650583}","{'Mean': -159.65448623730637, 'Std': 65.3647733672802}","{'Mean': -152.02396449133477, 'Std': 44.726950434281335}"
"measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -184.2012083616828, 'Std': 46.360013933662486}","{'Mean': -178.09243620389148, 'Std': 60.88258788852186}","{'Mean': -182.9104548571362, 'Std': 74.7631130746902}","{'Mean': -149.5758089593354, 'Std': 43.86933935010423}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -183.96719143570962, 'Std': 75.33683408439408}","{'Mean': -202.2409615081186, 'Std': 91.47922235429247}","{'Mean': -223.2073255591578, 'Std': 103.18976757346705}","{'Mean': -187.45652527192237, 'Std': 55.73072957645947}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,temperature,","{'Mean': -175.53809477167064, 'Std': 53.974246042965135}","{'Mean': -126.87337224227842, 'Std': 39.33696121448413}","{'Mean': -174.4911708472181, 'Std': 68.25747616207224}","{'Mean': -127.87653046372496, 'Std': 39.4647287466512}"
"measuring CO,measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': -191.6399546208529, 'Std': 60.74521706053572}","{'Mean': -124.64046287336602, 'Std': 44.867060154637855}","{'Mean': -173.77624373630093, 'Std': 79.92664167535818}","{'Mean': -141.3065119506431, 'Std': 43.72173208897352}"
"measuring CO,measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': -311.91170051754096, 'Std': 129.11974668803978}","{'Mean': -147.53315523984435, 'Std': 38.81677207639641}","{'Mean': -212.50075530155038, 'Std': 67.19667379256215}","{'Mean': -173.22023897021347, 'Std': 57.97847111134824}"
"measuring CO,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -205.01480434486862, 'Std': 68.17336151828981}","{'Mean': -126.2487332520361, 'Std': 38.10644374938761}","{'Mean': -180.8315466143807, 'Std': 79.49312799204803}","{'Mean': -126.54795639852267, 'Std': 35.52760389510233}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -172.8345968713884, 'Std': 50.60205120538761}","{'Mean': -178.9395989269282, 'Std': 62.10868531478017}","{'Mean': -177.08322193964136, 'Std': 75.93895522748016}","{'Mean': -151.28897146189644, 'Std': 41.442802888823564}"
"measuring CO,measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,temperature,","{'Mean': -232.2929991220684, 'Std': 94.37639847641714}","{'Mean': -126.85460943623707, 'Std': 38.905839449666445}","{'Mean': -177.66996871099067, 'Std': 76.62282456863622}","{'Mean': -129.03448269308265, 'Std': 39.98149083037612}"
