,MLP Regression,Multilinear Regression,KNN Regression,Random Forests Regression
"measuring CO,measuring NO2,measuring O3 2,measuring SO2 1,","{'Mean': -8.141483483504249, 'Std': 1.2407503887174027}","{'Mean': -7.800945699531326, 'Std': 2.415708575768372}","{'Mean': -9.149672727272728, 'Std': 1.338224852829085}","{'Mean': -7.1917310915491, 'Std': 1.6877563256704657}"
"measuring CO,measuring NO2,measuring O3 2,measuring SO2 2,","{'Mean': -7.925740908415475, 'Std': 1.1567860892733601}","{'Mean': -8.02798604448129, 'Std': 2.568673401200293}","{'Mean': -8.945948251748252, 'Std': 1.071492442088138}","{'Mean': -7.210537729872935, 'Std': 1.676931952509062}"
"measuring CO,measuring NO2,measuring O3 2,measuring PM10,","{'Mean': -8.24617319574161, 'Std': 2.302803485919335}","{'Mean': -7.814526516346987, 'Std': 2.478851095534853}","{'Mean': -8.52513146853147, 'Std': 1.4154503830417884}","{'Mean': -7.1950490082159275, 'Std': 1.6920300210211847}"
"measuring CO,measuring NO2,measuring O3 2,temperature,","{'Mean': -8.118095521361308, 'Std': 1.6070749932505983}","{'Mean': -7.93865158711944, 'Std': 2.3370212500683887}","{'Mean': -8.531675524475524, 'Std': 1.3820341231967044}","{'Mean': -7.217946570215844, 'Std': 1.6650534659698775}"
"measuring CO,measuring NO2,measuring SO2 1,measuring SO2 2,","{'Mean': -7.899537170293456, 'Std': 0.7254481268999107}","{'Mean': -7.901903543507798, 'Std': 2.5867839258913676}","{'Mean': -8.996156643356645, 'Std': 1.475683965619543}","{'Mean': -7.200728913206421, 'Std': 1.6733590895872497}"
"measuring CO,measuring NO2,measuring SO2 1,measuring PM10,","{'Mean': -7.842927112189176, 'Std': 1.3212436134768692}","{'Mean': -7.6449693236243945, 'Std': 2.5025104236772644}","{'Mean': -9.215556643356644, 'Std': 1.3765438096719655}","{'Mean': -7.186932883373018, 'Std': 1.700344461348134}"
"measuring CO,measuring NO2,measuring SO2 1,temperature,","{'Mean': -7.875578301959308, 'Std': 1.3629783788133025}","{'Mean': -7.7806550852537075, 'Std': 2.4819108748734506}","{'Mean': -8.821619580419581, 'Std': 0.9527903665281148}","{'Mean': -7.219461822995596, 'Std': 1.6664896678058159}"
"measuring CO,measuring NO2,measuring SO2 2,measuring PM10,","{'Mean': -7.529508504985176, 'Std': 1.347321401545128}","{'Mean': -7.9378681937259445, 'Std': 2.6379659753673024}","{'Mean': -8.077074125874127, 'Std': 1.3397910824839105}","{'Mean': -7.211513315679258, 'Std': 1.6861754717337274}"
"measuring CO,measuring NO2,measuring SO2 2,temperature,","{'Mean': -7.862611771849117, 'Std': 1.3958325633227278}","{'Mean': -8.04114372681602, 'Std': 2.601977369651736}","{'Mean': -9.00093846153846, 'Std': 0.756104391571747}","{'Mean': -7.24240167997838, 'Std': 1.6567347436083573}"
"measuring CO,measuring NO2,measuring PM10,temperature,","{'Mean': -8.15198520168536, 'Std': 1.9878900007532778}","{'Mean': -7.790346648488201, 'Std': 2.540101833955385}","{'Mean': -8.324965034965036, 'Std': 1.3466908544502791}","{'Mean': -7.223012812859368, 'Std': 1.6694890074701345}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring SO2 1,","{'Mean': -8.565278111965496, 'Std': 1.2868390910889573}","{'Mean': -7.412965575668146, 'Std': 1.6742203947341652}","{'Mean': -9.217482517482518, 'Std': 1.9963779999943794}","{'Mean': -7.4526227257118505, 'Std': 1.5926264685198717}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring SO2 2,","{'Mean': -8.148787468987376, 'Std': 1.5650653266765115}","{'Mean': -7.62237500937259, 'Std': 1.6418402825026777}","{'Mean': -8.82423076923077, 'Std': 1.4099481777548524}","{'Mean': -7.553488433786663, 'Std': 1.5567394989961774}"
"measuring NO2,measuring O3 1,measuring O3 2,measuring PM10,","{'Mean': -8.482998426953355, 'Std': 1.6749959451882357}","{'Mean': -7.461524048697977, 'Std': 1.7179616387894043}","{'Mean': -8.540751048951048, 'Std': 1.7537320796575264}","{'Mean': -7.484770855715901, 'Std': 1.6269952239616994}"
"measuring NO2,measuring O3 1,measuring O3 2,temperature,","{'Mean': -8.464397571212203, 'Std': 1.4991750398135533}","{'Mean': -7.666436835124777, 'Std': 1.541364068770829}","{'Mean': -8.680142657342659, 'Std': 1.695893809646333}","{'Mean': -7.755374152251496, 'Std': 1.5002474814030426}"
"measuring NO2,measuring O3 1,measuring SO2 1,measuring SO2 2,","{'Mean': -8.049719933276538, 'Std': 0.8864726151645571}","{'Mean': -7.467503444131674, 'Std': 1.7332161271679836}","{'Mean': -8.669064335664334, 'Std': 1.263135624490308}","{'Mean': -7.568232393814225, 'Std': 1.616333831688182}"
"measuring NO2,measuring O3 1,measuring SO2 1,measuring PM10,","{'Mean': -8.382736891152263, 'Std': 1.7252069995292016}","{'Mean': -7.325000581885608, 'Std': 1.825450683045038}","{'Mean': -8.299528671328671, 'Std': 1.8306813644425584}","{'Mean': -7.438577496993711, 'Std': 1.810403169091989}"
"measuring NO2,measuring O3 1,measuring SO2 1,temperature,","{'Mean': -8.45428146778958, 'Std': 1.5358268331135845}","{'Mean': -7.468980495985318, 'Std': 1.6380950749527736}","{'Mean': -8.878878321678323, 'Std': 1.2010049300355843}","{'Mean': -7.742862476721918, 'Std': 1.5488120356745345}"
"measuring NO2,measuring O3 1,measuring SO2 2,measuring PM10,","{'Mean': -7.363280294547354, 'Std': 1.2522364897514782}","{'Mean': -7.530585582332558, 'Std': 1.763197119022591}","{'Mean': -8.156040559440559, 'Std': 1.4255844384108463}","{'Mean': -7.608157390131277, 'Std': 1.6548312260587679}"
"measuring NO2,measuring O3 1,measuring SO2 2,temperature,","{'Mean': -8.112984948824035, 'Std': 0.8196967682271487}","{'Mean': -7.729762450493945, 'Std': 1.55476700976346}","{'Mean': -8.530386013986014, 'Std': 1.2257846075876213}","{'Mean': -7.883437709726576, 'Std': 1.4583543233511715}"
"measuring NO2,measuring O3 1,measuring PM10,temperature,","{'Mean': -7.94184289811084, 'Std': 1.7343503700675846}","{'Mean': -7.506667488127571, 'Std': 1.6751521566155982}","{'Mean': -8.436923076923076, 'Std': 1.3897472369184158}","{'Mean': -7.759625566702162, 'Std': 1.571415607473935}"
"measuring NO2,measuring O3 2,measuring SO2 1,measuring SO2 2,","{'Mean': -8.704150156365719, 'Std': 1.1385744082727665}","{'Mean': -7.605619434675944, 'Std': 1.5560906419403688}","{'Mean': -8.949658741258741, 'Std': 0.736106839308811}","{'Mean': -7.514520412589144, 'Std': 1.516083137908713}"
"measuring NO2,measuring O3 2,measuring SO2 1,measuring PM10,","{'Mean': -8.008903939747325, 'Std': 1.2209408631984595}","{'Mean': -7.4379600883985635, 'Std': 1.6604856462817132}","{'Mean': -9.075167832167832, 'Std': 1.2775564626246063}","{'Mean': -7.476204435118336, 'Std': 1.623164427299787}"
"measuring NO2,measuring O3 2,measuring SO2 1,temperature,","{'Mean': -8.315095409102648, 'Std': 1.1750032093832772}","{'Mean': -7.672412448484887, 'Std': 1.5130001975727225}","{'Mean': -9.03524055944056, 'Std': 1.2473966511628485}","{'Mean': -7.720682424894891, 'Std': 1.449392416140595}"
"measuring NO2,measuring O3 2,measuring SO2 2,measuring PM10,","{'Mean': -7.675147757295541, 'Std': 1.2690836330492212}","{'Mean': -7.653618140111826, 'Std': 1.6141485724262026}","{'Mean': -8.745488111888113, 'Std': 0.954699276393169}","{'Mean': -7.576379609361015, 'Std': 1.5900830821616176}"
"measuring NO2,measuring O3 2,measuring SO2 2,temperature,","{'Mean': -8.125293478222847, 'Std': 1.5480670116790634}","{'Mean': -7.924721829732965, 'Std': 1.4461967704371783}","{'Mean': -9.049958041958044, 'Std': 1.0321088123630588}","{'Mean': -7.8200109362582655, 'Std': 1.4049208378862437}"
"measuring NO2,measuring O3 2,measuring PM10,temperature,","{'Mean': -8.063523327052142, 'Std': 1.562956956840321}","{'Mean': -7.686003743355727, 'Std': 1.548396571488208}","{'Mean': -8.685706293706295, 'Std': 1.3625356005660614}","{'Mean': -7.737926393656062, 'Std': 1.4691726298911523}"
"measuring NO2,measuring SO2 1,measuring SO2 2,measuring PM10,","{'Mean': -8.005764333262988, 'Std': 1.1340159686520601}","{'Mean': -7.497970189789063, 'Std': 1.707935529733684}","{'Mean': -8.711099300699301, 'Std': 1.0814618623973935}","{'Mean': -7.591353831153441, 'Std': 1.6482849154337815}"
"measuring NO2,measuring SO2 1,measuring SO2 2,temperature,","{'Mean': -8.369828109241205, 'Std': 1.0267711863220497}","{'Mean': -7.721620254598724, 'Std': 1.4997133320230154}","{'Mean': -9.273545454545454, 'Std': 0.6577053054261915}","{'Mean': -7.838549024924909, 'Std': 1.4002134532896697}"
